Unnamed: 0,Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
97,7176,3:37.33,Charlie HUNTER,20 JUL 1996,AUS,8,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1143,2022,men_1500m
98,7176,3:37.33,Andrew COSCORAN,18 JUN 1996,IRL,6,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1143,2022,men_1500m
99,7200,3:37.34,Jim SPIVEY,07 MAR 1960,USA,4,"Knoxville, TN (USA)",20 JUN 1982,1142,1982,men_1500m
0,7200,3:37.34,Abdelmajid MONCEF,10 MAY 1961,MAR,8,Nice (FRA),10 JUL 1988,1142,1988,men_1500m
1,7200,3:37.34,Mike STAHR,09 DEC 1964,USA,2,Nyköping (SWE),04 JUL 1989,1142,1989,men_1500m
2,7200,3:37.34,Simon DOYLE,09 NOV 1966,AUS,1,Helsinki (FIN),27 JUN 1990,1142,1990,men_1500m
3,7200,3:37.34,Steve SCOTT,05 MAY 1956,USA,1,"Santa Monica, CA (USA)",17 MAY 1991,1142,1991,men_1500m
4,7200,3:37.34,Hervé PHÉLIPPEAU,16 SEP 1962,FRA,3,Bologna (ITA),07 SEP 1991,1142,1991,men_1500m
5,7200,3:37.34,Christophe IMPENS,09 DEC 1969,BEL,12,Roma (ITA),05 JUN 1996,1142,1996,men_1500m
6,7200,3:37.34,Hicham EL GUERROUJ,14 SEP 1974,MAR,1sf1,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1142,1999,men_1500m
7,7200,3:37.34,Kevin MCKAY,09 FEB 1969,GBR,9,Linz (AUT),08 AUG 2000,1142,2000,men_1500m
8,7200,3:37.34,Craig MOTTRAM,18 JUN 1980,AUS,11,Zürich (SUI),16 AUG 2002,1142,2002,men_1500m
9,7200,3:37.34,Salah EL GHAZI,02 NOV 1975,MAR,5,San Sebastián (ESP),03 JUL 2004,1142,2004,men_1500m
10,7200,3:37.34,Sergio GALLARDO,22 MAR 1979,ESP,1,"Estadio Iberoamericano, Huelva (ESP)",07 AUG 2004,1142,2004,men_1500m
11,7200,3:37.34,Fouad EL KAAM,27 MAY 1988,MAR,6,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1142,2009,men_1500m
12,7200,3:37.34,Mohamed MOUSTAOUI,02 APR 1985,MAR,4h4,"Olympiastadion, Berlin (GER)",15 AUG 2009,1142,2009,men_1500m
13,7200,3:37.34,Peter VAN DER WESTHUIZEN,21 DEC 1984,RSA,9,"Icahn Stadium, New York, NY (USA)",12 JUN 2010,1142,2010,men_1500m
14,7200,3:37.34,Bethwell BIRGEN,06 AUG 1988,KEN,10sf2,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1142,2013,men_1500m
15,7200,3:37.34,Mauris Surel CASTILLO,19 OCT 1984,CUB,4f1,Huelva (ESP),12 JUN 2014,1142,2014,men_1500m
16,7200,3:37.34,Thomas RIVA,31 JAN 1992,CAN,8f2,Heusden-Zolder (BEL),18 JUL 2015,1142,2015,men_1500m
17,7200,3:37.34,Teddese LEMI,20 JAN 1999,ETH,1,Hengelo (NED),17 JUL 2019,1142,2019,men_1500m
18,7200,3:37.34,Yassin BOUIH,24 NOV 1996,ITA,4f1,"Stade Du Moulin Boisseau, Carquefou (FRA)",11 JUN 2021,1142,2021,men_1500m
19,7200,3:37.34,Rorey HUNTER,02 FEB 1993,AUS,1,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",03 JUL 2021,1142,2021,men_1500m
20,7200,3:37.34,Nuno PEREIRA,27 NOV 2000,POR,6f1,Castellón (ESP),16 JUN 2022,1142,2022,men_1500m
21,7200,3:37.34,James WEST,30 JAN 1996,GBR,3,"Polideportivo Municipal, Andújar (ESP)",26 MAY 2023,1142,2023,men_1500m
22,7223,3:37.35,Abderrahmane MORCELI,1957,ALG,4,Algiers (ALG),27 JUL 1978,1142,1978,men_1500m
23,7223,3:37.35,Alessandro LAMBRUSCHINI,07 JAN 1965,ITA,1,Grosseto (ITA),12 JUN 1986,1142,1986,men_1500m
24,7223,3:37.35,Anthony MORRELL,03 MAY 1962,GBR,9,Malmö (SWE),05 AUG 1991,1142,1991,men_1500m
25,7223,3:37.35,Niall BRUTON,27 OCT 1971,IRL,9,Villeneuve d'Ascq (FRA),25 MAY 1996,1142,1996,men_1500m
26,7223,3:37.35,Benson KOECH,10 NOV 1974,KEN,10,Stockholm (SWE),08 JUL 1996,1142,1996,men_1500m
27,7223,3:37.35,Branko ZORKO,01 JUL 1967,CRO,6h3,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1142,1996,men_1500m
28,7223,3:37.35,Gareth LOUGH,06 JUL 1970,GBR,11,Köln (GER),16 AUG 1996,1142,1996,men_1500m
29,7223,3:37.35,Laban ROTICH,20 JAN 1969,KEN,2,Sevilla (ESP),08 JUN 2002,1142,2002,men_1500m
30,7223,3:37.35,Michael EAST,20 JAN 1978,GBR,1,Manchester (GBR),31 JUL 2002,1142,2002,men_1500m
31,7223,3:37.35,Cornelius NDIWA,17 DEC 1988,KEN,2f1,Dessau (GER),30 MAY 2008,1142,2008,men_1500m
32,7223,3:37.35,Jeremy ROFF,22 NOV 1983,AUS,6,Villeneuve d'Ascq (FRA),30 JUN 2009,1142,2009,men_1500m
33,7223,3:37.35,Ryan GREGSON,26 APR 1990,AUS,1,Hobart (AUS),12 FEB 2010,1142,2010,men_1500m
34,7223,3:37.35,Dmitrijs JURKEVIČS,07 JAN 1987,LAT,4f1,Sollentuna (SWE),28 JUN 2011,1142,2011,men_1500m
35,7223,3:37.35,Benjamin CHERUIYOT,1980,KEN,5f1,Rehlingen (GER),28 MAY 2012,1142,2012,men_1500m
36,7223,3:37.35,David TORRENCE,26 NOV 1985,USA,,"Olympic Stadium, London (GBR)",27 JUL 2013,1142,2013,men_1500m
37,7223,3:37.35,Kyle MERBER,19 NOV 1990,USA,2,Padova (ITA),17 JUL 2016,1142,2016,men_1500m
38,7223,3:37.35,Robert BIWOTT,28 JAN 1996,KEN,1,"Sports Park Mladost, Zagreb (CRO)",06 SEP 2016,1142,2016,men_1500m
39,7223,3:37.35,Evans KIPCHUMBA,06 NOV 1994,KEN,6,Nairobi (KEN),24 JUN 2017,1142,2017,men_1500m
40,7223,3:37.35,David RIBICH,27 DEC 1995,USA,6f15,"Azusa, CA (USA)",20 APR 2018,1142,2018,men_1500m
41,7223,3:37.35,Abdessalem AYOUNI,16 MAY 1994,TUN,2,Tarragona (ESP),29 JUN 2018,1142,2018,men_1500m
42,7223,3:37.35,George Meitamei MANANGOI,29 NOV 2000,KEN,12,"Sports Park Mladost, Zagreb (CRO)",04 SEP 2018,1142,2018,men_1500m
43,7223,3:37.35,Matthew RAMSDEN,23 JUL 1997,AUS,1,Lignano Sabbiadoro (ITA),09 JUL 2019,1142,2019,men_1500m
44,7223,3:37.35,Jimmy GRESSIER,04 MAY 1997,FRA,1,"Stade Georges Lapeyre, Brive-la-Gaillarde (FRA)",24 JUL 2020,1142,2020,men_1500m
45,7223,3:37.35,Charles Cheboi SIMOTWO,05 JUN 1995,KEN,7,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 JUN 2022,1142,2022,men_1500m
46,7223,3:37.35,John GREGOREK,07 DEC 1991,USA,8sf1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1142,2022,men_1500m
47,7223,3:37.35,Kyumbe MUNGUTI,28 FEB 1995,KEN,1,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",26 MAY 2023,1142,2023,men_1500m
48,7249,3:37.36,Steve FOLEY,21 DEC 1957,AUS,3f2,Zürich (SUI),15 AUG 1979,1142,1979,men_1500m
49,7249,3:37.36,Claudio PATRIGNANI,09 JAN 1959,ITA,4,Firenze (ITA),08 JUN 1983,1142,1983,men_1500m
50,7249,3:37.36,Stefano MEI,03 FEB 1963,ITA,2,Grosseto (ITA),18 JUL 1984,1142,1984,men_1500m
51,7249,3:37.36,Eric DUBUS,28 FEB 1966,FRA,7,Nice (FRA),10 JUL 1990,1142,1990,men_1500m
52,7249,3:37.36,Willem MULDNER,22 OCT 1973,RSA,2,Stellenbosch (RSA),20 MAR 1996,1142,1996,men_1500m
53,7249,3:37.36,Dieter BAUMANN,09 FEB 1965,GER,1,Köln (GER),22 JUN 1996,1142,1996,men_1500m
54,7249,3:37.36,Stephen KIPKORIR,24 OCT 1970,KEN,5,Hechtel (BEL),06 JUL 1996,1142,1996,men_1500m
55,7249,3:37.36,Luke KIPKOSGEI,27 NOV 1975,KEN,1,"Palo Alto, CA (USA)",16 MAY 1998,1142,1998,men_1500m
56,7249,3:37.36,Steve HOLMAN,02 MAR 1970,USA,5,"Sacramento, CA (USA)",16 JUL 2000,1142,2000,men_1500m
57,7249,3:37.36,Anis SELMOUNI,15 MAR 1979,MAR,15,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1142,2004,men_1500m
58,7249,3:37.36,Chris MULVANEY,25 MAY 1981,GBR,11,"Crystal Palace, London (GBR)",22 JUL 2005,1142,2005,men_1500m
59,7249,3:37.36,Said AHMED,10 DEC 1982,USA,8,Heusden-Zolder (BEL),22 JUL 2006,1142,2006,men_1500m
60,7249,3:37.36,Gideon Kiage MAGEKA,31 DEC 1993,KEN,1,Bressanone (ITA),12 JUL 2009,1142,2009,men_1500m
61,7249,3:37.36,Stefan EBERHARDT,12 JAN 1985,GER,3,"Wattenscheid, Bochum (GER)",02 AUG 2009,1142,2009,men_1500m
62,7249,3:37.36,Kristof VAN MALDEREN,30 MAY 1983,BEL,12,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1142,2010,men_1500m
63,7249,3:37.36,Mekonnen GEBREMEDHIN,11 OCT 1988,ETH,14,Paris (FRA),06 JUL 2013,1142,2013,men_1500m
64,7249,3:37.36,Younéss ESSALHI,20 FEB 1993,MAR,1,Fes (MAR),24 MAY 2014,1142,2014,men_1500m
65,7249,3:37.36,John GREGOREK,07 DEC 1991,USA,2,"Greenville, SC (USA)",04 JUN 2016,1142,2016,men_1500m
66,7249,3:37.36,Julian MATTHEWS,21 JUL 1988,NZL,6,"Somerville, MA (USA)",17 JUN 2016,1142,2016,men_1500m
67,7249,3:37.36,Timo BENITZ,24 DEC 1991,GER,2f1,Heusden-Zolder (BEL),22 JUL 2017,1142,2017,men_1500m
68,7249,3:37.36,Alexandre SADDEDINE,29 SEP 1994,FRA,13,"Stade Charléty, Paris (FRA)",30 JUN 2018,1142,2018,men_1500m
69,7249,3:37.36,Elijah Motonei MANANGOI,05 JAN 1993,KEN,1,"Nyayo National Stadium, Nairobi (KEN)",22 AUG 2019,1142,2019,men_1500m
70,7249,3:37.36,William KINCAID,21 SEP 1992,USA,6,"Jesuit High School Track, Portland, OR (USA)",21 JUL 2020,1142,2020,men_1500m
71,7249,3:37.36,Joshua CHEPTEGEI,12 SEP 1996,UGA,3f2,"Mandela National Stadium, Kampala (UGA)",24 APR 2021,1142,2021,men_1500m
72,7249,3:37.36,Yared NUGUSE,01 JUN 1999,USA,1sf1,"Hayward Field, Eugene, OR (USA)",09 JUN 2021,1142,2021,men_1500m
73,7249,3:37.36,Tarik MOUKRIME,03 MAR 1992,BEL,3f1,"VITA Atletiek, Ninove (BEL)",17 JUL 2021,1142,2021,men_1500m
74,7249,3:37.36,Justin KIPKOECH,18 SEP 1998,KEN,2f1,"Stedelijke Atletiekpiste, Ninove (BEL)",16 JUL 2022,1142,2022,men_1500m
75,7249,3:37.36,Keisuke MORITA,19 OCT 1995,JPN,2f1,"Aoba Park Athletic Field, Chitose (JPN)",16 JUL 2022,1142,2022,men_1500m
76,7249,3:37.36,Michał ROZMYS,13 MAR 1995,POL,1h2,"Olympiastadion, München (GER)",15 AUG 2022,1142,2022,men_1500m
77,7278,3:37.37,Thomas WESSINGHAGE,22 FEB 1952,FRG,1,Zürich (SUI),24 AUG 1977,1142,1977,men_1500m
78,7278,3:37.37,Saïd AOUITA,02 NOV 1959,MAR,2,Köln (GER),22 AUG 1982,1142,1982,men_1500m
79,7278,3:37.37,Ray FLYNN,22 JAN 1957,IRL,5,Oslo (NOR),28 JUN 1983,1142,1983,men_1500m
80,7278,3:37.37,Wilson WAIGWA,15 FEB 1949,KEN,4,München (GER),26 JUL 1983,1142,1983,men_1500m
81,7278,3:37.37,Michael HILLARDT,22 JAN 1961,AUS,1,Nice (FRA),13 JUL 1987,1142,1987,men_1500m
82,7278,3:37.37,Gennaro DI NAPOLI,05 MAR 1968,ITA,3,Stockholm (SWE),03 JUL 1989,1142,1989,men_1500m
83,7278,3:37.37,John MAYOCK,26 OCT 1970,GBR,3h1,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1142,1997,men_1500m
84,7278,3:37.37,Noureddine MORCELI,28 FEB 1970,ALG,4,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1142,1997,men_1500m
85,7278,3:37.37,Richie BOULET,14 JUN 1973,USA,11,Stuttgart (GER),19 JUL 1998,1142,1998,men_1500m
86,7278,3:37.37,Anacleto JIMÉNEZ,24 FEB 1967,ESP,5,Barcelona (ESP),25 JUL 1998,1142,1998,men_1500m
87,7278,3:37.37,Gert-Jan LIEFERS,26 SEP 1978,NED,5h2,"Commonwealth Stadium, Edmonton (CAN)",09 AUG 2001,1142,2001,men_1500m
88,7278,3:37.37,David KIPLAK,27 DEC 1981,KEN,2,Leverkusen (GER),03 AUG 2003,1142,2003,men_1500m
89,7278,3:37.37,Michael EAST,20 JAN 1978,GBR,1h3,"Olympic Stadium, Athina (GRE)",20 AUG 2004,1142,2004,men_1500m
90,7278,3:37.37,Shadrack KORIR,14 DEC 1978,KEN,1,Melbourne (AUS),02 MAR 2007,1142,2007,men_1500m
91,7278,3:37.37,Abdelslam KENNOUCHE,07 OCT 1980,FRA,1,Nantes (FRA),24 JUN 2009,1142,2009,men_1500m
92,7278,3:37.37,Will LEER,15 APR 1985,USA,2f1,Gent (BEL),21 JUL 2009,1142,2009,men_1500m
93,7278,3:37.37,Augustine Kiprono CHOGE,21 JAN 1987,KEN,,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,1142,2011,men_1500m
94,7278,3:37.37,Julian MATTHEWS,21 JUL 1988,NZL,9f2,Heusden-Zolder (BEL),18 JUL 2015,1142,2015,men_1500m
95,7278,3:37.37,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,6,"Letzigrund, Zürich (SUI)",03 SEP 2015,1142,2015,men_1500m
96,7278,3:37.37,Charlie DA'VALL GRICE,07 NOV 1993,GBR,f2,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1142,2017,men_1500m
97,7278,3:37.37,Laban KIPLIMO,,KEN,4,Nairobi (KEN),23 JUN 2018,1142,2018,men_1500m
98,7278,3:37.37,Mohamed TINDOUFT,12 MAR 1993,MAR,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",27 APR 2021,1142,2021,men_1500m
99,7278,3:37.37,Vincent CIATTEI,21 JAN 1995,USA,7,"Irvine, CA (USA)",15 MAY 2021,1142,2021,men_1500m
0,7278,3:37.37,Rodrigue KWIZERA,10 OCT 1999,BDI,9f1,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",14 JUN 2023,1142,2023,men_1500m
1,7278,3:37.37,Hicham AKANKAM,04 APR 1998,MAR,3f1,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",16 JUN 2023,1142,2023,men_1500m
2,7278,3:37.37,Isaac NADER,17 AUG 1999,POR,2f1,"Stadion Śląski, Chorzów (POL)",24 JUN 2023,1142,2023,men_1500m
3,7304,3:37.38,Frank CLEMENT,26 APR 1952,GBR,3,Stockholm (SWE),30 JUL 1974,1142,1974,men_1500m
4,7304,3:37.38,Andreas BUSSE,06 MAY 1959,GDR,1,Karl Marx Stadt (GDR),18 JUN 1983,1142,1983,men_1500m
5,7304,3:37.38,Chuck ARAGON,29 MAR 1959,USA,3,Stockholm (SWE),02 JUL 1984,1142,1984,men_1500m
6,7304,3:37.38,Eckhardt RÜTER,24 OCT 1963,FRG,6,Koblenz (GER),28 AUG 1988,1142,1988,men_1500m
7,7304,3:37.38,Martin JOHNS,05 JUL 1969,NZL,3,Abbotsford (CAN),02 JUN 1996,1142,1996,men_1500m
8,7304,3:37.38,Panayotis PAPOULIAS,09 DEC 1969,GRE,2,Bucureşti (ROU),13 JUN 1997,1142,1997,men_1500m
9,7304,3:37.38,Martin KEINO,20 JUN 1972,KEN,1,Brisbane (AUS),21 MAR 1998,1142,1998,men_1500m
10,7304,3:37.38,Mickaël DAMIAN,09 NOV 1969,FRA,8,St-Denis (FRA),04 JUN 1998,1142,1998,men_1500m
11,7304,3:37.38,Alberto GARCÍA,22 FEB 1971,ESP,6,Barcelona (ESP),25 JUL 1998,1142,1998,men_1500m
12,7304,3:37.38,Benjamin KIPKURUI,28 DEC 1980,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",05 OCT 2000,1142,2000,men_1500m
13,7304,3:37.38,Daham Najim BASHIR,08 NOV 1979,QAT,1,Manama (BRN),29 APR 2005,1142,2005,men_1500m
14,7304,3:37.38,Suleiman Kipses SIMOTWO,21 APR 1980,KEN,7,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1142,2009,men_1500m
15,7304,3:37.38,Abubaker Ali KAMAL,08 NOV 1983,QAT,1,Manama (BRN),19 OCT 2011,1142,2011,men_1500m
16,7304,3:37.38,Carsten SCHLANGEN,31 DEC 1980,GER,4f1,Huelva (ESP),12 JUN 2013,1142,2013,men_1500m
17,7304,3:37.38,Simas BERTAŠIUS,31 OCT 1993,LTU,5,"Stade Sottevillais 76, Sotteville-lès-Rouen (FRA)",11 JUL 2021,1142,2021,men_1500m
18,7304,3:37.38,Federico RIVA,09 NOV 2000,ITA,8,"Stadio Colbachini, Padova (ITA)",04 SEP 2022,1142,2022,men_1500m
19,7304,3:37.38,Kyumbe MUNGUTI,28 FEB 1995,KEN,1,"Nyayo National Stadium, Nairobi (KEN)",24 JUN 2023,1142,2023,men_1500m
20,7321,3:37.39,Sergey AFANASYEV,28 APR 1964,URS,1,Kiev (URS),31 JUL 1988,1142,1988,men_1500m
21,7321,3:37.39,Kevin MCKAY,09 FEB 1969,GBR,5h4,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1142,1992,men_1500m
22,7321,3:37.39,Laban ROTICH,20 JAN 1969,KEN,4,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1142,1996,men_1500m
23,7321,3:37.39,Lorenzo LAZZARI,23 AUG 1974,ITA,3,Padova (ITA),26 JUN 1999,1142,1999,men_1500m
24,7321,3:37.39,Graham HOOD,02 APR 1972,CAN,8h1,"La Cartuja, Sevilla (ESP)",21 AUG 1999,1142,1999,men_1500m
25,7321,3:37.39,Bryan BERRYHILL,15 DEC 1977,USA,9,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 2002,1142,2002,men_1500m
26,7321,3:37.39,Kevin SULLIVAN,20 MAR 1974,CAN,7,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,1142,2007,men_1500m
27,7321,3:37.39,Bethwell BIRGEN,06 AUG 1988,KEN,4,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1142,2009,men_1500m
28,7321,3:37.39,Álvaro RODRÍGUEZ,25 MAY 1987,ESP,2,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1142,2010,men_1500m
29,7321,3:37.39,Nick WILLIS,25 APR 1983,NZL,7sf2,"DS, Daegu (KOR)",01 SEP 2011,1142,2011,men_1500m
30,7321,3:37.39,Nick WILLIS,25 APR 1983,NZL,,"Hayward Field, Eugene, OR (USA)",02 JUN 2012,1142,2012,men_1500m
31,7321,3:37.39,Jordan MCNAMARA,07 MAR 1987,USA,1f2,"Los Angeles, CA (USA)",15 MAY 2014,1142,2014,men_1500m
32,7321,3:37.39,Thiago ANDRÉ,04 AUG 1995,BRA,1,Sao Bernardo do Campo (BRA),12 MAR 2017,1142,2017,men_1500m
33,7321,3:37.39,John GREGOREK,07 DEC 1991,USA,5f1,Heusden-Zolder (BEL),21 JUL 2018,1142,2018,men_1500m
34,7321,3:37.39,Alexis MIELLET,05 MAY 1995,FRA,8sf1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1142,2019,men_1500m
35,7321,3:37.39,Jonathan DAVIS,10 OCT 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",08 JUN 2022,1142,2022,men_1500m
36,7337,3:37.4h,Mike BOIT,06 JAN 1949,KEN,2,Mombasa (KEN),24 JUN 1972,1142,1972,men_1500m
37,7337,3:37.4h,Dick QUAX,1948,NZL,3,Oslo (NOR),24 JUL 1973,1142,1973,men_1500m
38,7337,3:37.4h,Takele WORKU,02 SEP 1953,ETH,2,Zanzibar (TAN),29 MAY 1976,1142,1976,men_1500m
39,7337,3:37.4h,Thomas WESSINGHAGE,22 FEB 1952,FRG,1,Düsseldorf (GER),08 JUN 1976,1142,1976,men_1500m
40,7337,3:37.4h,Lars-Martin KAUPANG,18 AUG 1952,NOR,3,Oslo (NOR),30 JUN 1976,1142,1976,men_1500m
41,7337,3:37.4h,Henryk WASILEWSKI,19 DEC 1953,POL,1,Bydgoszcz (POL),29 JUL 1977,1142,1977,men_1500m
42,7337,3:37.4h,Karl FLESCHEN,28 MAY 1955,FRG,2,Hamburg (GER),06 AUG 1977,1142,1977,men_1500m
43,7337,3:37.4h,Filbert BAYI,23 JUN 1953,TAN,1,Rieti (ITA),28 AUG 1977,1142,1977,men_1500m
44,7337,3:37.4h,Valeriy ABRAMOV,22 AUG 1956,URS,1,Vilnius (LTU),21 JUL 1978,1142,1978,men_1500m
45,7337,3:37.4h,Pavel YAKOVLEV,16 JAN 1958,URS,1,Sochi (URS),28 MAY 1979,1142,1979,men_1500m
46,7337,3:37.4h,Willi WÜLBECK,18 DEC 1954,FRG,2,Köln (GER),19 AUG 1979,1142,1979,men_1500m
47,7337,3:37.4h,Alexandre GONZALEZ,16 MAR 1951,FRA,1,Nice (FRA),19 AUG 1979,1142,1979,men_1500m
48,7337,3:37.4h,Sergey CHIRKOV,04 SEP 1954,URS,2,Potsdam (GDR),31 AUG 1979,1142,1979,men_1500m
49,7337,3:37.4h,José Manuel ABASCAL,17 MAR 1958,ESP,2,Barcelona (ESP),10 SEP 1980,1142,1980,men_1500m
50,7337,3:37.40,Marcus O'SULLIVAN,22 DEC 1961,IRL,2,"Eugene, OR (USA)",02 JUN 1984,1142,1984,men_1500m
51,7337,3:37.40,Omar KHALIFA,18 DEC 1956,SUD,1,Roma (ITA),31 AUG 1984,1142,1984,men_1500m
52,7337,3:37.40,Jürgen GROTHE,14 APR 1960,FRG,10,Koblenz (GER),06 AUG 1986,1142,1986,men_1500m
53,7337,3:37.4h,Anatoliy LISENKO,1955,URS,1,Yalta (URS),11 OCT 1986,1142,1986,men_1500m
54,7337,3:37.40,Gerry O'REILLY,01 JUL 1964,IRL,7,London (GBR),10 JUL 1987,1142,1987,men_1500m
55,7337,3:37.4h,Sisa KIRATI,1957,KEN,2,Nairobi (KEN),18 JUN 1988,1142,1988,men_1500m
56,7337,3:37.40,Steve OVETT,09 OCT 1955,GBR,4,La Coruña (ESP),25 JUL 1989,1142,1989,men_1500m
57,7337,3:37.4h,Robert KIBET,15 DEC 1965,KEN,2,Nairobi (KEN),11 MAY 1991,1142,1991,men_1500m
58,7337,3:37.40,Rachid EL BASIR,04 OCT 1968,MAR,1f2,"Letzigrund, Zürich (SUI)",07 AUG 1991,1142,1991,men_1500m
59,7337,3:37.40,William TANUI,22 FEB 1964,KEN,4,Nairobi (KEN),28 JUN 1997,1142,1997,men_1500m
60,7337,3:37.40,Juan Carlos HIGUERO,03 AUG 1978,ESP,1,Maia (POR),15 JUL 2000,1142,2000,men_1500m
61,7337,3:37.40,Aléxis ABRAHAM,14 FEB 1976,FRA,12,St-Denis (FRA),06 JUL 2001,1142,2001,men_1500m
62,7337,3:37.40,Juan Carlos HIGUERO,03 AUG 1978,ESP,8h1,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1142,2005,men_1500m
63,7337,3:37.40,Kevin SULLIVAN,20 MAR 1974,CAN,4,"Crystal Palace, London (GBR)",03 AUG 2007,1142,2007,men_1500m
64,7337,3:37.40,Demma Daba BIKILA,18 JUL 1989,ETH,3,Zagreb (CRO),09 SEP 2008,1142,2008,men_1500m
65,7337,3:37.40,Bader RASSIOUI,08 JUN 1985,MAR,8f1,Rehlingen (GER),13 JUN 2011,1142,2011,men_1500m
66,7337,3:37.40,Zakaria MAZOUZI,15 JUN 1985,MAR,9,Rabat (MAR),09 JUN 2013,1142,2013,men_1500m
67,7337,3:37.4h,Abednego CHESEBE,20 JUN 1982,KEN,1,Nairobi (KEN),06 JUN 2015,1142,2015,men_1500m
68,7337,3:37.40,Morhad AMDOUNI,21 JUN 1988,FRA,1,Montreuil-sous-Bois (FRA),09 JUN 2015,1142,2015,men_1500m
69,7337,3:37.40,Kalle BERGLUND,11 MAR 1996,SWE,7,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1142,2018,men_1500m
70,7337,3:37.40,Teddese LEMI,20 JAN 1999,ETH,10,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUN 2019,1142,2019,men_1500m
71,7337,3:37.40,Oussama NABIL,18 FEB 1996,MAR,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",07 APR 2021,1142,2021,men_1500m
72,7337,3:37.40,David MCNEILL,06 OCT 1986,AUS,2,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",03 JUL 2021,1142,2021,men_1500m
73,7337,3:37.40,Adam SPENCER,04 OCT 2001,AUS,3,"Hayward Field, Eugene, OR (USA)",22 APR 2022,1142,2022,men_1500m
74,7337,3:37.40,Quentin TISON,16 APR 1996,FRA,4f1,"Stade Raymond Troussier, Decines (FRA)",11 JUN 2022,1142,2022,men_1500m
75,7337,3:37.40,Gonzalo GARCÍA,26 JAN 1995,ESP,6,"Olympiastadion, München (GER)",18 AUG 2022,1142,2022,men_1500m
76,7337,3:37.40,Gilbert KIPNGETICH,22 JAN 2004,KEN,3,"Levy Mwanawasa Stadion, Ndola (ZAM)",30 APR 2023,1142,2023,men_1500m
77,7378,3:37.41,John WALKER,12 JAN 1952,NZL,2,Zürich (SUI),24 AUG 1977,1141,1977,men_1500m
78,7378,3:37.41,Abdelaziz SAHERE,18 SEP 1967,MAR,5,Hengelo (NED),13 AUG 1989,1141,1989,men_1500m
79,7378,3:37.41,Branko ZORKO,01 JUL 1967,CRO,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1141,1993,men_1500m
80,7378,3:37.41,Rachid EL BASIR,04 OCT 1968,MAR,5,"Stadio Olimpico, Roma (ITA)",08 JUN 1994,1141,1994,men_1500m
81,7378,3:37.41,Ebeneza FELIX,14 AUG 1970,RSA,3,Stellenbosch (RSA),20 MAR 1996,1141,1996,men_1500m
82,7378,3:37.41,Shuai GAO,07 FEB 1975,CHN,2,Shanghai (CHN),18 OCT 1997,1141,1997,men_1500m
83,7378,3:37.41,Noah NGENY,02 NOV 1978,KEN,1h3,"La Cartuja, Sevilla (ESP)",21 AUG 1999,1141,1999,men_1500m
84,7378,3:37.41,Rashid RAMZI,17 JUL 1980,BRN,2,Manama (BRN),29 APR 2005,1141,2005,men_1500m
85,7378,3:37.41,Paul KORIR,15 JUL 1977,KEN,2,Nairobi (KEN),25 JUN 2005,1141,2005,men_1500m
86,7378,3:37.41,Said DOULAL,17 DEC 1979,MAR,3,Algiers (ALG),22 JUN 2006,1141,2006,men_1500m
87,7378,3:37.41,Bernard Kiptanui KIPTUM,08 OCT 1986,KEN,4,Glasgow (GBR),03 JUN 2007,1141,2007,men_1500m
