Unnamed: 0,Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
81,16548,23.36,-0.4,SheKara MARTIN,14 SEP 1994,USA,4,"Orlando, FL (USA)",15 MAY 2016,1100,2016,women_200m
82,16548,23.36,1.2,Mahagony JONES,20 DEC 1990,USA,2f1,"Norwalk, CA (USA)",04 JUN 2016,1098,2016,women_200m
83,16548,23.36,-2.0,Farah JACQUES,08 FEB 1990,CAN,2f1,"Coral Gables, FL (USA)",04 JUN 2016,1110,2016,women_200m
84,16548,23.36,-0.1,Jennifer GALAIS,07 MAR 1992,FRA,3f1,Genève (SUI),11 JUN 2016,1098,2016,women_200m
85,16548,23.36,0.8,Natalіya STROHOVA,26 DEC 1992,UKR,1h3,Lutsk (UKR),18 JUN 2016,1098,2016,women_200m
86,16548,23.36,-0.3,Jessica ENNIS-HILL,28 JAN 1986,GBR,1ce4,"Stadionring, Ratingen (GER)",25 JUN 2016,1099,2016,women_200m
87,16548,23.36,0.1,Jennifer GALAIS,07 MAR 1992,FRA,1,Angers (FRA),26 JUN 2016,1098,2016,women_200m
88,16548,23.36,0.0,Anna KIEŁBASIŃSKA,26 JUN 1990,POL,5sf2,"Olympisch Stadion, Amsterdam (NED)",06 JUL 2016,1098,2016,women_200m
89,16548,23.36,0.9,Lekeisha LAWSON,03 JUN 1987,USA,4h4,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1098,2016,women_200m
90,16548,23.36,1.0,Shalonda SOLOMON,19 DEC 1985,USA,1f1,"Orlando, FL (USA)",18 MAR 2017,1098,2017,women_200m
91,16548,23.36,0.3,Lenysse DYER,06 MAR 1997,USA,3f1,"Knoxville, TN (USA)",25 MAR 2017,1098,2017,women_200m
92,16548,23.36,1.5,Brittny ELLIS,01 SEP 1997,USA,2f1,"Coral Gables, FL (USA)",25 MAR 2017,1098,2017,women_200m
93,16548,23.36,1.3,Lenysse DYER,06 MAR 1997,USA,2f1,"Columbia, SC (USA)",22 APR 2017,1098,2017,women_200m
94,16548,23.36,2.0,Anabel MEDINA VENTURA,15 DEC 1996,DOM,1f1,Medellín (COL),29 APR 2017,1098,2017,women_200m
95,16548,23.36,0.9,Shauna HELPS,23 OCT 1996,JAM,2h3,"Lexington, KY (USA)",26 MAY 2017,1098,2017,women_200m
96,16548,23.36,0.2,Akua OBENG-AKROFI,10 JUL 1996,GHA,4h4,"Lexington, KY (USA)",26 MAY 2017,1098,2017,women_200m
97,16548,23.36,0.6,Daija LAMPKIN,11 JUL 1999,USA,2,"Hayward Field, Eugene, OR (USA)",26 MAY 2017,1098,2017,women_200m
98,16548,23.36,-0.2,Olga BELKINA,23 AUG 1990,RUS,1,Sochi (RUS),26 MAY 2017,1099,2017,women_200m
99,16548,23.36,0.7,Carolin SCHÄFER,05 DEC 1991,GER,1ce4,"Mösle-Stadium, Götzis (AUT)",27 MAY 2017,1098,2017,women_200m
0,16548,23.36,0.0,Eleni ARTYMATA,16 MAY 1986,CYP,1,Limassol (CYP),18 JUN 2017,1098,2017,women_200m
1,16548,23.36,-1.2,Sha'Carri RICHARDSON,25 MAR 2000,USA,1h2,"Sacramento, CA (USA)",24 JUN 2017,1105,2017,women_200m
2,16548,23.36,-2.0,Sada WILLIAMS,01 DEC 1997,BAR,2,Hamilton (BER),01 JUL 2017,1110,2017,women_200m
3,16548,23.36,0.0,Kimbely BAPTISTE,27 DEC 1992,GBR,4,Birmingham (GBR),02 JUL 2017,1098,2017,women_200m
4,16548,23.36,0.0,Zoey CLARK,25 OCT 1994,GBR,1f1,Bromley (GBR),16 JUL 2017,1098,2017,women_200m
5,16548,23.36,0.0,Manqi GE,13 OCT 1997,CHN,3,Tianjin (CHN),05 SEP 2017,1098,2017,women_200m
6,16548,23.36,-0.7,Daija LAMPKIN,11 JUL 1999,USA,3f2,"Gainesville, FL (USA)",13 APR 2018,1102,2018,women_200m
7,16548,23.36,-0.2,Shania COLLINS,14 NOV 1996,USA,2f1,"Torrance, CA (USA)",20 APR 2018,1099,2018,women_200m
8,16548,23.36,-0.3,Asaine HALL,29 MAR 1995,JAM,1h2,Ponce (PUR),27 APR 2018,1099,2018,women_200m
9,16548,23.36,-0.1,Brianne BETHEL,05 JUL 1998,BAH,1h3,"Cincinnati, OH (USA)",11 MAY 2018,1098,2018,women_200m
10,16548,23.36,1.3,Agnė ŠERKŠNIENĖ,18 FEB 1988,LTU,1f1,Zofingen (SUI),19 MAY 2018,1098,2018,women_200m
11,16548,23.36,2.0,Cornelia HALBHEER,16 AUG 1992,SUI,6f1,Genève (SUI),09 JUN 2018,1098,2018,women_200m
12,16548,23.36,0.3,Patrycja WYCISZKIEWICZ,08 JAN 1994,POL,2f1,Gliwice (POL),10 JUN 2018,1098,2018,women_200m
13,16548,23.36,0.6,Louisa GRAUVOGEL,28 SEP 1996,GER,1ce4,"Stadionring, Ratingen (GER)",16 JUN 2018,1098,2018,women_200m
14,16548,23.36,0.1,Marcela PÍRKOVÁ,25 JAN 1996,CZE,1f1,Ostrava (CZE),01 JUL 2018,1098,2018,women_200m
15,16548,23.36,0.6,Jaël BESTUÉ,24 SEP 2000,ESP,1h1,Getafe (ESP),22 JUL 2018,1098,2018,women_200m
16,16548,23.36,-0.3,Sindija BUKŠA,14 DEC 1997,LAT,3h1,"Olympiastadion, Berlin (GER)",10 AUG 2018,1099,2018,women_200m
17,16548,23.36,0.1,Ivet LALOVA-COLLIO,18 MAY 1984,BUL,7,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1098,2018,women_200m
18,16548,23.36,1.0,Shaniqua BASCOMBE,08 NOV 2003,TTO,1,George Town (CAY),21 APR 2019,1098,2019,women_200m
19,16548,23.36,0.2,Shilah BEDINGFIELD,,USA,1f1,"Davis, CA (USA)",26 APR 2019,1098,2019,women_200m
20,16548,23.36,1.6,Jayla HOLLIS,03 SEP 2002,USA,1h2,"Arlington, TX (USA)",26 APR 2019,1098,2019,women_200m
21,16548,23.36,1.4,Jayla HOLLIS,03 SEP 2002,USA,2,"Arlington, TX (USA)",27 APR 2019,1098,2019,women_200m
22,16548,23.36,1.6,Jayla KIRKLAND,13 FEB 1999,USA,1h4,"Charlottesville, VA (USA)",09 MAY 2019,1098,2019,women_200m
23,16548,23.36,1.7,Kristina KHOROSHEVA,05 APR 1993,RUS,1h2,Cheboksary (RUS),26 JUL 2019,1098,2019,women_200m
24,16548,23.36,-3.1,Morolake AKINOSUN,17 MAY 1994,USA,3h2,"Drake Stadium, Des Moines, IA (USA)",27 JUL 2019,1116,2019,women_200m
25,16548,23.36,-1.0,Anna KIEŁBASIŃSKA,26 JUN 1990,POL,6,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",11 AUG 2019,1104,2019,women_200m
26,16548,23.36,-4.3,Kristal AWUAH,07 AUG 1999,GBR,4,"Alexander Stadium, Birmingham (GBR)",25 AUG 2019,1123,2019,women_200m
27,16548,23.36,-1.0,Jessica-Bianca WESSOLLY,11 DEC 1996,GER,2f1,"Sportanlage am Weinweg, Regensburg (GER)",26 JUL 2020,1104,2020,women_200m
28,16548,23.36,0.0,Celera BARNES,02 DEC 1998,USA,2f1,"Cregger Track, Columbia, SC (USA)",27 MAR 2021,1098,2021,women_200m
29,16548,23.36,2.0,Dajour MILES,25 JUL 2001,USA,3f1,"Percy Beard Track, Gainesville, FL (USA)",02 APR 2021,1098,2021,women_200m
30,16548,23.36,0.7,Gulsumbi SHARIFOVA,02 DEC 1997,TJK,1,Dushanbe (TJK),08 APR 2021,1098,2021,women_200m
31,16548,23.36,0.5,Gémima JOSEPH,17 OCT 2001,FRA,1,"Stade Bois De Chaudat, Kourou (FRA)",17 APR 2021,1098,2021,women_200m
32,16548,23.36,0.6,Maia MCCOY,09 DEC 1996,USA,3h2,"Cushing Stadium, College Station, TX (USA)",13 MAY 2021,1098,2021,women_200m
33,16548,23.36,1.4,Leah ANDERSON,01 DEC 1999,JAM,1,"Spire Institute Outdoor Complex, Geneva, OH (USA)",15 MAY 2021,1098,2021,women_200m
34,16548,23.36,-0.5,Jonah ROSS,01 MAY 2002,USA,6sf3,"Hayward Field, Eugene, OR (USA)",10 JUN 2021,1101,2021,women_200m
35,16548,23.36,0.2,Zoe SHERAR,07 NOV 1999,CAN,2f2,"Track and Field Centre Outdoor Track, Toronto (CAN)",18 JUN 2021,1098,2021,women_200m
36,16548,23.36,-1.1,Gloria HOOPER,03 MAR 1992,ITA,6,"Estadio Vallehermoso, Madrid (ESP)",19 JUN 2021,1104,2021,women_200m
37,16548,23.36,-0.7,Nerea BERMEJO,20 DEC 1998,ESP,1f1,"Complex Esportiu L’Hospitalet Nord, L'Hospitalet (ESP)",10 JUL 2021,1102,2021,women_200m
38,16548,23.36,1.7,Kristie EDWARDS,24 FEB 2000,AUS,1f1,"SOPAC, Sydney (AUS)",20 FEB 2022,1098,2022,women_200m
39,16548,23.36,-1.0,Viwe JINGQI,17 FEB 2005,RSA,1,"Bestmed Tuks Stadium, Pretoria (RSA)",11 MAR 2022,1104,2022,women_200m
40,16548,23.36,1.6,Imani LANSIQUOT,17 DEC 1997,GBR,2f1,"KSU Outdoor Track & Field Facility, Kennesaw, GA (USA)",15 APR 2022,1098,2022,women_200m
41,16548,23.36,0.4,Gabriela Anahi SUAREZ,02 FEB 2001,ECU,1f1,"Estadio Alberto Spencer Herrera, Guayaquil (ECU)",17 APR 2022,1098,2022,women_200m
42,16548,23.36,1.0,Jacious SEARS,14 AUG 2001,USA,6,"Morris Williams T&F Stadium, Durham, NC (USA)",14 MAY 2022,1098,2022,women_200m
43,16548,23.36,1.1,Delphine NKANSA,21 SEP 2001,BEL,1f1,"Stade A. Delaune, Maisons-Alfort (FRA)",21 MAY 2022,1098,2022,women_200m
44,16548,23.36,0.1,Iyana GRAY,27 FEB 2003,USA,3pr1,"John McDonnell Field, Fayetteville, AR (USA)",26 MAY 2022,1098,2022,women_200m
45,16548,23.36,0.3,Jasmine MONTGOMERY,2002,USA,2pr5,"John McDonnell Field, Fayetteville, AR (USA)",26 MAY 2022,1098,2022,women_200m
46,16548,23.36,1.3,Beth DOBBIN,07 JUN 1994,GBR,9,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1098,2022,women_200m
47,16548,23.36,-0.5,Lucia CARRILLO,04 JAN 2002,ESP,6,"Estadio Vallehermoso, Madrid (ESP)",18 JUN 2022,1101,2022,women_200m
48,16548,23.36,0.8,Lorraine MARTINS,04 APR 2000,BRA,3,Rio de Janeiro (BRA),25 JUN 2022,1098,2022,women_200m
49,16548,23.36,0.8,Talea PREPENS,28 DEC 2001,GER,3,"Olympiastadion, Berlin (GER)",26 JUN 2022,1098,2022,women_200m
50,16548,23.36,1.0,Serena KOUASSI,15 SEP 2003,FRA,2,"Stade de L'Ill, Mulhouse (FRA)",17 JUL 2022,1098,2022,women_200m
51,16548,23.36,0.5,Jayla JAMISON,06 SEP 2003,USA,1h4,"Pascual Guerrero Stadium, Cali (COL)",04 AUG 2022,1098,2022,women_200m
52,16548,23.36,0.5,Irene SIRAGUSA,23 JUN 1993,ITA,6h3,"Olympiastadion, München (GER)",18 AUG 2022,1098,2022,women_200m
53,16548,23.36,0.0,Gémima JOSEPH,17 OCT 2001,FRA,5sf2,"Olympiastadion, München (GER)",18 AUG 2022,1098,2022,women_200m
54,16548,23.36,0.8,Martyna KOTWIŁA,13 JAN 1999,POL,3f1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",24 AUG 2022,1098,2022,women_200m
55,16548,23.36,-0.5,Ziyah HOLMAN,01 MAR 2002,USA,4f1,"Percy Beard Track, Gainesville, FL (USA)",31 MAR 2023,1101,2023,women_200m
56,16548,23.36,0.5,Dejanea OAKLEY,07 APR 2004,JAM,1f7,"Percy Beard Track, Gainesville, FL (USA)",14 APR 2023,1098,2023,women_200m
57,16548,23.36,1.2,Sedrickia WYNN,,USA,8f1,"Mike A. Myers Stadium, Austin, TX (USA)",28 APR 2023,1098,2023,women_200m
58,16548,23.36,0.5,Cambrea STURGIS,27 MAR 1999,USA,6,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1098,2023,women_200m
59,16548,23.36,0.4,Felicia BROWN-EDWARDS,27 OCT 1993,USA,5f1,"Marietta HS, Marietta, GA (USA)",17 JUN 2023,1098,2023,women_200m
60,16861,23.37,,Jutta STÖCK,29 SEP 1941,FRG,3h3,"Estadio Olímpico, Ciudad de México (MEX)",17 OCT 1968,1097,1968,women_200m
61,16861,23.37,0.0,Annegret KRONIGER,24 SEP 1952,FRG,1sf1,"Olympiastadion, Helsinki (FIN)",12 AUG 1971,1097,1971,women_200m
62,16861,23.37,,Annegret KRONIGER,24 SEP 1952,FRG,1h3,"Olympiastadion, München (GER)",04 SEP 1972,1097,1972,women_200m
63,16861,23.37,,Irena SZEWIŃSKA,24 MAY 1946,POL,1h5,"Olympiastadion, München (GER)",04 SEP 1972,1097,1972,women_200m
64,16861,23.37,,Pirjo WILMI-HÄGGMAN,08 JUN 1951,FIN,3,Helsinki (FIN),31 AUG 1975,1097,1975,women_200m
65,16861,23.37,0.0,Karin VERGUTS,03 MAY 1961,BEL,2,Donetsk (URS),21 AUG 1977,1097,1977,women_200m
66,16861,23.37,,Evelyn ASHFORD,15 APR 1957,USA,2,Berlin (GER),26 AUG 1977,1097,1977,women_200m
67,16861,23.37,-0.3,Bev CALLENDER,28 AUG 1956,GBR,7sf2,"Stadion Evžena Rošického, Praha (TCH)",31 AUG 1978,1098,1978,women_200m
68,16861,23.37,,Galina PENKOVA,18 MAY 1958,BUL,5qf2,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1097,1980,women_200m
69,16861,23.37,1.9,Yelena VINOGRADOVA-PETUSHINSKAYA,28 MAR 1964,URS,2h6,"Olympiastadion, Helsinki (FIN)",12 AUG 1983,1097,1983,women_200m
70,16861,23.37,0.8,Liliane GASCHET,16 MAR 1962,FRA,8sf2,"Olympiastadion, Helsinki (FIN)",13 AUG 1983,1097,1983,women_200m
71,16861,23.37,0.7,Sabine PAETZ,16 OCT 1957,GDR,ce,Potsdam (GDR),05 MAY 1984,1097,1984,women_200m
72,16861,23.37,,Pauline DAVIS-THOMPSON,09 JUL 1966,BAH,2h2,"Memorial Coliseum, Los Angeles, CA (USA)",08 AUG 1984,1097,1984,women_200m
73,16861,23.37,,Heidi-Elke GAUGEL,11 JUL 1959,FRG,3h2,"Memorial Coliseum, Los Angeles, CA (USA)",08 AUG 1984,1097,1984,women_200m
74,16861,23.37,0.5,Ruth WAITHERA,17 AUG 1958,KEN,4qf3,"Memorial Coliseum, Los Angeles, CA (USA)",08 AUG 1984,1097,1984,women_200m
75,16861,23.37,,Pauline DAVIS-THOMPSON,09 JUL 1966,BAH,3,Nassau (BAH),26 JUL 1985,1097,1985,women_200m
76,16861,23.37,-0.3,Chandra CHEESEBOROUGH,10 JAN 1959,USA,5,Stockholm (SWE),01 JUL 1986,1098,1986,women_200m
77,16861,23.37,0.5,Tamaris FIEBIG,07 JUL 1970,GDR,1,La Habana (CUB),22 AUG 1987,1097,1987,women_200m
78,16861,23.37,,Ágnes KOZÁRY,28 SEP 1966,HUN,1f1,Zalaegerszeg (HUN),03 JUN 1989,1097,1989,women_200m
79,16861,23.37,1.4,Simmone Kim JACOBS,05 SEP 1966,GBR,5qf2,"National Stadium, Tokyo (JPN)",29 AUG 1991,1097,1991,women_200m
80,16861,23.37,,Huei-Chen WANG,21 FEB 1970,TPE,4h2,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1097,1992,women_200m
81,16861,23.37,-2.4,Maya AZARASHVILI,06 APR 1964,GEO,5f2,Zürich (SUI),17 AUG 1994,1111,1994,women_200m
82,16861,23.37,0.6,Chryste GAINES,14 SEP 1970,USA,5,"New York, NY (USA)",21 MAY 1995,1097,1995,women_200m
83,16861,23.37,1.0,Marina FILIPOVIĆ,22 DEC 1970,YUG,3,Rethymno (GRE),25 MAY 1996,1097,1996,women_200m
84,16861,23.37,0.6,Nora IVANOVA,01 JUN 1977,BUL,2,Sofia (BUL),25 MAY 1996,1097,1996,women_200m
85,16861,23.37,0.0,Olabisi AFOLABI,31 OCT 1975,NGR,1,Parma (ITA),17 JUN 1996,1097,1996,women_200m
86,16861,23.37,1.2,Erika SUCHOVSKÁ,27 JUL 1967,CZE,2,Lisboa (POR),29 JUN 1996,1097,1996,women_200m
87,16861,23.37,0.0,K.V. Damayanthi DARSHA,13 DEC 1975,SRI,1,Kangar (MAS),20 AUG 1996,1097,1996,women_200m
88,16861,23.37,-0.7,Jodi LAMBERT,01 SEP 1970,AUS,4,Melbourne (AUS),20 FEB 1997,1101,1997,women_200m
89,16861,23.37,0.9,Hydie Ann HARPER,16 NOV 1972,TTO,3,"Walnut, CA (USA)",20 APR 1997,1097,1997,women_200m
90,16861,23.37,0.8,Virna DE ANGELI,27 FEB 1976,ITA,1,Vigevano (ITA),11 MAY 1997,1097,1997,women_200m
91,16861,23.37,-0.6,Monika GACHEVSKA,30 JAN 1974,BUL,sf,Catania (ITA),27 AUG 1997,1100,1997,women_200m
92,16861,23.37,2.0,Cathy FREEMAN,16 FEB 1973,AUS,h,Melbourne (AUS),08 JAN 1998,1097,1998,women_200m
93,16861,23.37,0.8,Andrea ANDERSON,17 SEP 1977,USA,3,"Westwood, CA (USA)",02 MAY 1998,1097,1998,women_200m
94,16861,23.37,0.4,Benita KELLEY,15 SEP 1975,USA,h,"Columbus, OH (USA)",23 MAY 1998,1097,1998,women_200m
95,16861,23.37,0.5,Joice MADUAKA,30 SEP 1973,GBR,2,Bedford (GBR),30 MAY 1998,1097,1998,women_200m
96,16861,23.37,0.8,Natallia SALAHUB,31 MAR 1975,BLR,1,Tallinn (EST),19 JUN 1998,1097,1998,women_200m
97,16861,23.37,1.9,Joice MADUAKA,30 SEP 1973,GBR,2,Watford (GBR),21 JUN 1998,1097,1998,women_200m
98,16861,23.37,2.0,Katia BENTH,16 NOV 1975,FRA,1,La Chaux-de-Fonds (SUI),21 JUN 1998,1097,1998,women_200m
99,16861,23.37,-0.1,Nova PERIS-KNEEBONE,25 FEB 1971,AUS,4,Villach (AUT),09 JUL 1998,1097,1998,women_200m
0,16861,23.37,1.7,Govindasamy SHANTI,19 SEP 1967,MAS,4,Fukuoka (JPN),22 JUL 1998,1097,1998,women_200m
1,16861,23.37,1.5,Lauren HEWITT,25 NOV 1978,AUS,h,Sydney (AUS),10 AUG 1998,1097,1998,women_200m
2,16861,23.37,1.8,Rose ABOAJA,1977,NGR,sf,Dakar (SEN),21 AUG 1998,1097,1998,women_200m
3,16861,23.37,1.1,Andrea BORNSCHEUER,08 JUL 1974,GER,1,Salzgitter (GER),15 MAY 1999,1097,1999,women_200m
4,16861,23.37,-2.2,Birgit ROCKMEIER,29 NOV 1973,GER,1,Chemnitz (GER),02 JUN 1999,1110,1999,women_200m
5,16861,23.37,-2.2,Sabrina MULRAIN,10 JUN 1978,GER,2,Chemnitz (GER),02 JUN 1999,1110,1999,women_200m
6,16861,23.37,0.5,Rose ABOAJA,1977,NGR,10,Villeneuve d'Ascq (FRA),13 JUN 1999,1097,1999,women_200m
7,16861,23.37,0.5,Sanna KYLLÖNEN,09 MAR 1971,FIN,1,Turku (FIN),16 JUN 1999,1097,1999,women_200m
8,16861,23.37,0.0,Aleen BAILEY,25 NOV 1980,JAM,1,Kingston (JAM),19 JUN 1999,1097,1999,women_200m
9,16861,23.37,0.0,Aminata DIOUF,18 FEB 1977,SEN,4,Palma de Mallorca (ESP),09 JUL 1999,1097,1999,women_200m
10,16861,23.37,-0.3,Fabienne FERAEZ,06 AUG 1976,BEN,4,Montauban (FRA),07 AUG 1999,1098,1999,women_200m
11,16861,23.37,-0.1,Léonie Myriam MANI,21 MAY 1977,CMR,5h2,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1097,1999,women_200m
12,16861,23.37,0.0,Tania VAN HEER,30 DEC 1970,AUS,4,Brisbane (AUS),11 FEB 2000,1097,2000,women_200m
13,16861,23.37,1.3,Rachelle BOONE-SMITH,30 JUN 1981,USA,1,"Bloomington, IN (USA)",13 MAY 2000,1097,2000,women_200m
14,16861,23.37,1.5,Shekera WESTON,17 OCT 1977,USA,3,"Atlanta, GA (USA)",20 MAY 2000,1097,2000,women_200m
15,16861,23.37,0.1,Nora GÜNER,01 JUN 1977,TUR,2,Torino (ITA),10 JUN 2000,1097,2000,women_200m
16,16861,23.37,-0.2,Yelena PROKHOROVA,16 APR 1978,RUS,ce,Tula (RUS),22 JUL 2000,1098,2000,women_200m
17,16861,23.37,-0.6,Valma BASS,12 MAR 1974,SKN,4h5,"Olympic Stadium, Sydney (AUS)",27 SEP 2000,1100,2000,women_200m
18,16861,23.37,0.0,Sarah WILHELMY,02 FEB 1980,GBR,4,Nürnberg (GER),17 JUN 2001,1097,2001,women_200m
19,16861,23.37,0.2,Fabé DIA,14 FEB 1977,FRA,3,Villeneuve d'Ascq (FRA),17 JUN 2001,1097,2001,women_200m
20,16861,23.37,-0.1,Muriel HURTIS,25 MAR 1979,FRA,2,La Chaux-de-Fonds (SUI),19 AUG 2001,1097,2001,women_200m
21,16861,23.37,0.0,Nora GÜNER,01 JUN 1977,TUR,5,Thessaloniki (GRE),22 AUG 2001,1097,2001,women_200m
22,16861,23.37,,Mireille DONDERS,07 JUL 1974,SUI,1h5,Beijing (CHN),30 AUG 2001,1097,2001,women_200m
23,16861,23.37,1.9,Merlene FRAZER,27 DEC 1973,JAM,5,Rieti (ITA),02 SEP 2001,1097,2001,women_200m
24,16861,23.37,-1.5,Heide SEYERLING-QUINN,19 AUG 1976,RSA,1,Durban (RSA),08 FEB 2002,1106,2002,women_200m
25,16861,23.37,,Shekera WESTON,17 OCT 1977,USA,2,"Gainesville, FL (USA)",29 MAR 2002,1097,2002,women_200m
26,16861,23.37,1.7,Yuliya TABAKOVA,01 MAY 1980,RUS,2,Lisboa (POR),26 MAY 2002,1097,2002,women_200m
27,16861,23.37,1.7,Ciara SHEEHY,12 AUG 1980,IRL,2,Cork (IRL),06 JUL 2002,1097,2002,women_200m
28,16861,23.37,0.0,Olga KAIDATZI,18 JUL 1979,GRE,5h3,"Olympiastadion, München (GER)",08 AUG 2002,1097,2002,women_200m
29,16861,23.37,-0.3,Alenka BIKAR,07 JAN 1974,SLO,8,"Olympiastadion, München (GER)",09 AUG 2002,1098,2002,women_200m
30,16861,23.37,1.5,Joice MADUAKA,30 SEP 1973,GBR,1,Glasgow (GBR),18 AUG 2002,1097,2002,women_200m
31,16861,23.37,0.3,Vinitha TRIPATHI,15 OCT 1980,IND,2,New Delhi (IND),08 SEP 2002,1097,2002,women_200m
32,16861,23.37,0.3,Monique TUBBS,23 JAN 1981,USA,1,"Orlando, FL (USA)",18 APR 2003,1097,2003,women_200m
33,16861,23.37,1.5,Sanya RICHARDS-ROSS,26 FEB 1985,USA,2,"Austin, TX (USA)",19 APR 2003,1097,2003,women_200m
34,16861,23.37,1.8,LaShauntea MOORE,31 JUL 1983,USA,2h3,"Overland Park, KS (USA)",26 APR 2003,1097,2003,women_200m
35,16861,23.37,0.7,Patricia Libia RODRÍGUEZ CREJUELA,25 OCT 1970,COL,2,"Lynchburg, VA (USA)",08 MAY 2003,1097,2003,women_200m
36,16861,23.37,1.2,Patricia Libia RODRÍGUEZ CREJUELA,25 OCT 1970,COL,2,"Edwardsville, IL (USA)",24 MAY 2003,1097,2003,women_200m
37,16861,23.37,1.3,Marina MAYDANOVA-MINDAREVA,22 AUG 1982,UKR,1,Kyiv (UKR),26 MAY 2003,1097,2003,women_200m
38,16861,23.37,0.0,Melanie PASCHKE,29 JUN 1970,GER,5,Dessau (GER),30 MAY 2003,1097,2003,women_200m
39,16861,23.37,0.8,Shalonda SOLOMON,19 DEC 1985,USA,2,"Norwalk, CA (USA)",07 JUN 2003,1097,2003,women_200m
40,16861,23.37,-2.2,Consuella MOORE,29 AUG 1981,USA,4h4,"Sacramento, CA (USA)",12 JUN 2003,1110,2003,women_200m
41,16861,23.37,-1.5,Shalonda SOLOMON,19 DEC 1985,USA,1,"Palo Alto, CA (USA)",21 JUN 2003,1106,2003,women_200m
42,16861,23.37,0.6,Jacqueline POELMAN,05 OCT 1973,NED,3,Velenje (SLO),22 JUN 2003,1097,2003,women_200m
43,16861,23.37,-2.1,Cydonie MOTHERSILL,19 MAR 1978,CAY,3,Gateshead (GBR),13 JUL 2003,1109,2003,women_200m
44,16861,23.37,1.0,Carolina KLÜFT,02 FEB 1983,SWE,1,Karlstad (SWE),24 JUL 2003,1097,2003,women_200m
45,16861,23.37,-0.1,Jacqueline POELMAN,05 OCT 1973,NED,1,Ninove (BEL),27 JUL 2003,1097,2003,women_200m
46,16861,23.37,-0.8,Delphine Bertille ATANGANA,16 AUG 1984,CMR,1,Hyderabad (IND),29 OCT 2003,1101,2003,women_200m
47,16861,23.37,1.6,Lucimar Aparecida DE MOURA,22 MAR 1974,BRA,4,Fort-de-France (FRA),24 APR 2004,1097,2004,women_200m
48,16861,23.37,0.3,Agné VISOCKAITĖ-EGGERTH,04 AUG 1978,LTU,1,Växjö (SWE),29 JUN 2004,1097,2004,women_200m
49,16861,23.37,1.3,Aurélie KAMGA,11 AUG 1985,FRA,1h3,"Stadio Zecchini, Grosseto (ITA)",15 JUL 2004,1097,2004,women_200m
50,16861,23.37,0.0,Yekaterina KONDRATYEVA,08 APR 1982,RUS,2h,Cheboksary (RUS),17 JUL 2004,1097,2004,women_200m
51,16861,23.37,-0.1,Janice JOSEPHS,31 MAR 1982,RSA,3ce1,"Olympic Stadium, Athina (GRE)",20 AUG 2004,1097,2004,women_200m
52,16861,23.37,2.0,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,6h4,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1097,2004,women_200m
53,16861,23.37,-0.1,Yekaterina KONDRATYEVA,08 APR 1982,RUS,7qf4,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1097,2004,women_200m
54,16861,23.37,-2.2,Ivet LALOVA-COLLIO,18 MAY 1984,BUL,7,"Stade Louis II, Monaco (MON)",18 SEP 2004,1110,2004,women_200m
55,16861,23.37,0.4,Yomara HINESTROZA,20 MAY 1988,COL,1h1,Bogotá (COL),03 DEC 2004,1097,2004,women_200m
56,16861,23.37,1.3,Maryann ERIGHA,11 NOV 1984,USA,1,"Claremont, CA (USA)",15 APR 2005,1097,2005,women_200m
57,16861,23.37,0.4,Latonia WILSON,30 NOV 1984,USA,1h3,"Tulsa, OK (USA)",13 MAY 2005,1097,2005,women_200m
58,16861,23.37,0.0,Julian REYNOLDS-CLAY,02 NOV 1977,USA,3,"Atlanta, GA (USA)",14 MAY 2005,1097,2005,women_200m
59,16861,23.37,0.2,Kadiatou CAMARA,04 MAY 1981,MLI,1,Kalamata (GRE),30 MAY 2005,1097,2005,women_200m
60,16861,23.37,0.3,Kaltouma NADJINA,16 NOV 1976,CHA,1h2,Calgary (CAN),19 JUN 2005,1097,2005,women_200m
61,16861,23.37,1.4,Tremedia BRICE,22 JUL 1981,USA,4h2,"Carson, CA (USA)",25 JUN 2005,1097,2005,women_200m
62,16861,23.37,,Norma GONZÁLEZ,11 AUG 1982,COL,1,Bogotá (COL),03 JUL 2005,1097,2005,women_200m
63,16861,23.37,-0.6,Nikolett LISTÁR,06 DEC 1983,HUN,1,Szombathely (HUN),24 JUL 2005,1100,2005,women_200m
64,16861,23.37,0.7,Yelena YAKOVLEVA,18 MAR 1983,RUS,1sf2,Izmir (TUR),18 AUG 2005,1097,2005,women_200m
65,16861,23.37,0.0,Olesya ZYKINA,07 OCT 1980,RUS,2,Rovereto (ITA),31 AUG 2005,1097,2005,women_200m
